0,1,2,3,4,5,6
تیبا،,1400,EX-هاچ,کارکرد صفر,دنده ای,سفید,"300,000,000"
تیبا،,1399,SX بنزینی-صندوق,"37,000 کیلومتر",دنده ای,سفید,"290,500,000"
تیبا،,1399,SX بنزینی-صندوق,"60,000 کیلومتر",دنده ای,سفید,"260,000,000"
تیبا،,1400,SX بنزینی-صندوق,"31,000 کیلومتر",دنده ای,سفید,"282,000,000"
تیبا،,1401,EX-هاچ,کارکرد صفر,دنده ای,سفید,"315,000,000"
تیبا،,1400,SX بنزینی-صندوق,"38,000 کیلومتر",دنده ای,سفید,"282,000,000"
تیبا،,1400,SX بنزینی-صندوق,"53,000 کیلومتر",دنده ای,سفید,"279,000,000"
تیبا،,1400,SX بنزینی-صندوق,کارکرد صفر,دنده ای,سفید,"290,000,000"
تیبا،,1399,SX بنزینی-صندوق,"1,500 کیلومتر",دنده ای,سفید,"285,000,000"
تیبا،,1397,SX بنزینی-صندوق,"59,000 کیلومتر",دنده ای,سفید,"265,000,000"
تیبا،,1398,EX-هاچ,"48,000 کیلومتر",دنده ای,سفید,"275,000,000"
تیبا،,1400,EX-هاچ,"43,000 کیلومتر",دنده ای,سفید,"280,000,000"
تیبا،,1400,EX-هاچ,"43,000 کیلومتر",دنده ای,سفید,"285,000,000"
تیبا،,1397,EX-هاچ,"79,000 کیلومتر",دنده ای,سفید,"269,000,000"
تیبا،,1398,EX-هاچ,"40,000 کیلومتر",دنده ای,سفید,"274,000,000"
تیبا،,1400,SX بنزینی-صندوق,"7,800 کیلومتر",دنده ای,سفید,"295,000,000"
تیبا،,1397,EX-هاچ,"64,000 کیلومتر",دنده ای,سفید,"280,000,000"
تیبا،,1399,SX بنزینی-صندوق,"58,000 کیلومتر",دنده ای,سفید,"275,000,000"
تیبا،,1400,SX بنزینی-صندوق,"1,100 کیلومتر",دنده ای,سفید,"306,000,000"
تیبا،,1399,SX بنزینی-صندوق,"25,000 کیلومتر",دنده ای,سفید,"285,000,000"
تیبا،,1401,EX-هاچ,کارکرد صفر,دنده ای,سفید,"310,000,000"
تیبا،,1398,EX-هاچ,"24,400 کیلومتر",دنده ای,سفید,"268,000,000"
تیبا،,1396,SX بنزینی-صندوق,"140,000 کیلومتر",دنده ای,سفید,"245,000,000"
تیبا،,1396,EX-هاچ,"133,000 کیلومتر",دنده ای,سفید,"246,000,000"
تیبا،,1396,EX-هاچ,"95,000 کیلومتر",دنده ای,سفید,"263,000,000"
تیبا،,1398,EX-هاچ,"56,000 کیلومتر",دنده ای,سفید,"275,000,000"
تیبا،,1398,SX بنزینی-صندوق,"45,000 کیلومتر",دنده ای,سفید,"268,000,000"
تیبا،,1397,SX بنزینی-صندوق,"115,000 کیلومتر",دنده ای,سفید,"260,000,000"
تیبا،,1397,EX-هاچ,"40,000 کیلومتر",دنده ای,سفید,"280,000,000"
تیبا،,1398,SX بنزینی-صندوق,"31,000 کیلومتر",دنده ای,سفید,"263,000,000"
تیبا،,1400,SX بنزینی-صندوق,"2,500 کیلومتر",دنده ای,سفید,"297,000,000"
تیبا،,1399,EX-هاچ,"27,000 کیلومتر",دنده ای,سفید,"281,000,000"
تیبا،,1397,SX بنزینی-صندوق,"130,000 کیلومتر",دنده ای,سفید,"252,000,000"
تیبا،,1400,EX-هاچ,"8,000 کیلومتر",دنده ای,سفید,"286,000,000"
تیبا،,1401,EX-هاچ,"1,500 کیلومتر",دنده ای,سفید,"305,000,000"
تیبا،,1398,EX-هاچ,"40,000 کیلومتر",دنده ای,سفید,"290,000,000"
