0,1,2,3,4,5,6
پژو،,1401,XU7P-پارس,"5,000 کیلومتر",دنده ای,سفید,"460,000,000"
پژو،,1399,XU7-پارس,"60,000 کیلومتر",دنده ای,سفید,"404,000,000"
پژو،,1399,XU7-پارس,"19,000 کیلومتر",دنده ای,سفید,"420,000,000"
پژو،,1395,XU7-پارس,"82,000 کیلومتر",دنده ای,سفید,"370,000,000"
پژو،,1400,LX-پارس,"16,000 کیلومتر",دنده ای,مشکی,"520,000,000"
پژو،,1401,XU7-پارس,"7,900 کیلومتر",دنده ای,سفید,"440,000,000"
پژو،,1398,XU7-پارس,"43,000 کیلومتر",دنده ای,سفید,"400,000,000"
پژو،,1390,دوگانه سوز-پارس,"170,000 کیلومتر",دنده ای,نوک مدادی,"310,000,000"
پژو،,1401,LX-پارس,کارکرد صفر,دنده ای,سفید,"566,000,000"
پژو،,1398,XU7-پارس,"88,000 کیلومتر",دنده ای,سفید,"410,000,000"
پژو،,1400,LX-پارس,"17,000 کیلومتر",دنده ای,خاکستری,"510,000,000"
پژو،,1401,ELX-TU5-پارس,کارکرد صفر,دنده ای,سفید,"561,000,000"
پژو،,1400,XU7-پارس,"45,000 کیلومتر",دنده ای,سفید,"430,000,000"
پژو،,1399,XU7-پارس,"44,000 کیلومتر",دنده ای,سفید,"415,000,000"
پژو،,1401,LX-پارس,کارکرد صفر,دنده ای,سفید,"565,000,000"
پژو،,1399,XU7-پارس,"28,800 کیلومتر",دنده ای,سفید,"425,000,000"
پژو،,1401,XU7P-پارس,کارکرد صفر,دنده ای,سفید,"470,000,000"
پژو،,1399,LX-پارس,"79,900 کیلومتر",دنده ای,سفید,"505,000,000"
پژو،,1401,XU7P-پارس,"3,700 کیلومتر",دنده ای,خاکستری,"455,000,000"
پژو،,1399,XU7-پارس,"37,000 کیلومتر",دنده ای,سفید,"415,000,000"
پژو،,1401,XU7P-پارس,کارکرد صفر,دنده ای,سفید,"475,000,000"
پژو،,1399,XU7-پارس,"47,000 کیلومتر",دنده ای,نوک مدادی,"405,000,000"
پژو،,1396,ELX-XUM-پارس,"128,000 کیلومتر",دنده ای,سفید,"369,000,000"
پژو،,1401,XU7P-پارس,کارکرد صفر,دنده ای,سفید,"465,000,000"
پژو،,1401,XU7P-پارس,کارکرد صفر,دنده ای,سفید,"473,000,000"
پژو،,1401,LX-پارس,کارکرد صفر,دنده ای,سفید,"570,000,000"
پژو،,1401,XU7-پارس,"30,000 کیلومتر",دنده ای,مشکی,"423,000,000"
پژو،,1401,XU7P-پارس,کارکرد صفر,دنده ای,سفید,"470,000,000"
پژو،,1398,LX-پارس,"63,000 کیلومتر",دنده ای,سفید,"460,000,000"
پژو،,1401,ELX-XU7P-پارس,کارکرد صفر,دنده ای,سفید,"525,000,000"
پژو،,1396,LX-پارس,"140,000 کیلومتر",دنده ای,سفید,"375,000,000"
پژو،,1401,XU7P-پارس,کارکرد صفر,دنده ای,سفید,"455,000,000"
پژو،,1401,XU7P-پارس,کارکرد صفر,دنده ای,سفید,"470,000,000"
پژو،,1400,LX-پارس,کارکرد صفر,دنده ای,سفید,"550,000,000"
پژو،,1401,LX-پارس,کارکرد صفر,دنده ای,سفید,"560,000,000"
پژو،,1391,دوگانه سوز-پارس,"267,000 کیلومتر",دنده ای,سفید,"300,000,000"
پژو،,1401,LX-پارس,کارکرد صفر,دنده ای,مشکی,"560,000,000"
پژو،,1396,LX-پارس,"40,000 کیلومتر",دنده ای,نوک مدادی,"425,000,000"
پژو،,1401,LX-پارس,کارکرد صفر,دنده ای,سفید,"522,000,000"
پژو،,1401,XU7P-پارس,کارکرد صفر,دنده ای,مشکی,"468,000,000"
پژو،,1401,ELX-XU7P-پارس,کارکرد صفر,دنده ای,سفید,"500,000,000"
پژو،,1401,LX-پارس,"7,300 کیلومتر",دنده ای,خاکستری,"524,000,000"
پژو،,1401,XU7P-پارس,"16,000 کیلومتر",دنده ای,خاکستری,"470,000,000"
پژو،,1401,XU7P-پارس,"2,000 کیلومتر",دنده ای,سفید,"430,000,000"
پژو،,1398,LX-پارس,"76,000 کیلومتر",دنده ای,سفید,"456,000,000"
پژو،,1400,LX-پارس,"10,000 کیلومتر",دنده ای,نوک مدادی,"515,000,000"
پژو،,1399,XU7-پارس,"59,000 کیلومتر",دنده ای,سفید,"396,000,000"
پژو،,1401,LX-پارس,کارکرد صفر,دنده ای,سفید,"525,000,000"
پژو،,1401,XU7P-پارس,600 کیلومتر,دنده ای,سفید,"443,000,000"
